SiteID,Index,LON,LAT,ACSP,AISP,EphSP,PleSP,TriSP,ChiSP,otherSP,Emerg,Units,Notes,Stream width (m),Basin size (km2),figure_table,ele_mean,r_mean,k_mean,bd_mean,cf_mean,ph05_mean,ph15_mean,lit_majority,min_mean,HYBAS_ID,crop,forest.c,forest.o,nodata,shrub.grass,urban,water,tmp_dc_smx,pre_mm_syr,slp_dg_uav,ero_kh_uav,run_mm_syr,ppd_pk_uav,tmp_dc_syr,ele_mt_sav,dis_m3_pyr,for_pc_sse,crp_pc_sse,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09
Mello_etal2020_Espraiado,,-47.8736333,-21.9805167,13050,,1350,760,3800,,1470,,mg AFDM m-2 y-1,*Ash free dry mass* . I have mailed the author.,0.57,,dry,857.6958763,5996.462601,0.008921065,1.373332977,38.66666794,53.2,53.225,6,,6121261690,14.99,12.44,15.87,0,28.46,28.22,0.01,225,1395,33,15793,475,98.86799622,200,746,2.111000061,6,54,152,152,172,172
Meyerhoff_1991_Clearwater,,-122.064786,46.289031,15.05,,,,,,,,g AFDM m-2 y-1,Third-order stream in Washington after volcanic eruption. Mean of 1985 and 1986 values.,,21.9,Table 5.10,1105.472384,1833.716883,0.020230043,1.119523713,13.42857156,52.015625,52.25,1,,7121000920,0,63.84,30.41,0,5.68,0.02,0.04,144,2589,168,6478,1567,0.114,63,985,9.225000381,97,0,15,15,14,14
Meyerhoff_1991_Elk,,-121.94326,46.28689,10.3,,,,,,,,g AFDM m-2 y-1,Second-order stream in Washington after volcanic eruption. Mean of 1985 and 1986 values.,,10.4,Table 5.10,1162.390504,1827.426619,0.024440729,1.162083238,16.83333325,50.87692308,51.88461538,2,,7120381040,0,99.78,0.22,0,0,0,0,149,2430,155,1041,1527,0,64,977,6.090000153,100,0,0,0,0,0
Miller_1985_Site1,83,-79.51,37.9,1.81,0.84,0.17,0.44,0.05,,,,g DM m-2 yr-1,"From article: """"Production estimates obtained by multiplying an assumed annual turnover ratio by average standing biomass are indicated by (t). All others were calculated using the size-frequency method.""""",3,,"Tables 2,3,4,5",635.1902412,3022.945794,0.02850184,1.345555504,22.33333206,50.75454545,51.50909091,6,,7121094630,4.03,83.1,9.67,0,3.08,0.12,0,226,1059,92,1935,410,7.363999844,117,484,15.67300034,77,25,86,61,79,60
Miller_1985_Site2,84,-79.5,37.92,12.46,11.92,0.74,0.74,9.74,,,,g DM m-2 yr-1,"From article: """"Production estimates obtained by multiplying an assumed annual turnover ratio by average standing biomass are indicated by (t). All others were calculated using the size-frequency method.""""",5.3,,"Tables 2,3,4,5",656.6465909,2979.323824,0.028228524,1.346223876,22.33333206,49.32173913,50.13043478,6,,7121094630,0.39,95.53,3.36,0,0.62,0.1,0,226,1059,92,1935,410,7.363999844,117,484,15.67300034,77,25,86,61,79,60
Miller_1985_Site3,85,-79.48,37.94,9.52,8.16,0.58,0.29,6.62,,,,g DM m-2 yr-1,"From article: """"Production estimates obtained by multiplying an assumed annual turnover ratio by average standing biomass are indicated by (t). All others were calculated using the size-frequency method.""""",6.1,,"Tables 2,3,4,5",608.0479526,3032.168579,0.028742852,1.339553441,22.33333206,49.72321429,50.50892857,6,,7121094630,0.31,92.94,4.77,0,0.39,0.3,1.29,226,1059,92,1935,410,7.363999844,117,484,15.67300034,77,25,86,61,79,60
Miller_1985_Site4,86,-79.47,37.95,5.54,3.98,0.88,0.32,2.24,,,,g DM m-2 yr-1,"From article: """"Production estimates obtained by multiplying an assumed annual turnover ratio by average standing biomass are indicated by (t). All others were calculated using the size-frequency method.""""",5.6,,"Tables 2,3,4,5",578.1604873,3063.908205,0.029569136,1.339553441,22.33333206,50.24299065,51.04672897,6,,7121094630,0.51,89.74,6.99,0,0.93,0.36,1.47,226,1059,92,1935,410,7.363999844,117,484,15.67300034,77,25,86,61,79,60
Miller_1985_SitePB,87,-79.49,37.93,3.81,1.29,0.13,0.79,0,,,,g DM m-2 yr-1,"From article: """"Production estimates obtained by multiplying an assumed annual turnover ratio by average standing biomass are indicated by (t). All others were calculated using the size-frequency method.""""",2.9,,"Tables 2,3,4,5",631.9408482,3008.70637,0.028372012,1.344791583,22.33333206,49.5,50.31578947,6,,7121094630,0.24,95.14,3.55,0,0.47,0.16,0.45,226,1059,92,1935,410,7.363999844,117,484,15.67300034,77,25,86,61,79,60
Mortensen_Simonsen_1983_BisballeBaek,197,9.333,56.367,22.518,,,,,,,,g AFDM m-2,Small stream in Denmark.,1,,Table 2,54.99504573,544.1690318,0.016234004,1.166257119,11.54142828,57.56081081,57.58783784,5,,2121079200,50.02,30.03,13.26,0,0.95,1.83,3.9,156,772,7,193,613,30.37400055,75,40,8.534999847,21,58,159,168,109,115
Nakano_Murakami_2001,,141.596,42.676,,,,,,,,1160.446,mg DM m-2 y-1,"Sum of daily measurements multiplied by number of days in  each of 12 months, Figure 1C",,,"Aquatic to Terrestrial Flux, extracted from Figure 1C ",36.08993902,1638.391556,0.032526766,1.022500038,17.75,54.61290323,54.66666667,5,,4120361260,0.8,69.99,0.69,0,3.35,23.81,1.37,210,1110,16,727,918,295.1340027,70,54,6.356999874,82,10,259,259,272,272
Naslund_2021_unmined,,-82.003,38.129,14870.36563,,,,,,,,mg DM m-2 y-1,Study on contamination- Values are from reference streams,,,on,312.0127212,3704.699857,0.033032448,1.369617999,22.00347201,50.24561404,50.62280702,6,1.274764277,7120582410,0.98,87.75,4.65,0,6.47,0.16,0,232,1149,88,2315,358,14.68000031,119,303,2.760999918,99,4,53,53,56,56
Nelson_2023_G1,,-109.414873,40.907225,86709.32,17381.48,270.82,,48.96,14222.2,2839.5,,mg DM m-2 y-1,Green river. Sites downstream Flaming Gorge Dam. Exact location could be retrieved from Fig1 and GoogleMap. Stream size also estimated from map,30,,Gorge Dam. Exact location could be retrieved from Fig1,2024.186441,330.6548882,0.029934155,1.273853966,22.06696429,73.83783784,74.54954955,6,,7121062760,0,27.99,32.45,0,34.57,0.24,4.76,185,307,47,1150,52,1.684999943,53,2190,97.79100037,86,1,27,40,28,41
Nelson_2023_G2,,-109.370054,40.902482,46606.98,26773.89,11779.89,790.89,2665.72,7059.71,4477.68,,mg DM m-2 y-1,Green river. Sites downstream Flaming Gorge Dam. Exact location could be retrieved from Fig1 and GoogleMap. Stream size also estimated from map,30,,Gorge Dam. Exact location could be retrieved from Fig1,2088.319853,340.3246945,0.030317797,1.27677083,22.44196429,73.28571429,73.98319328,6,,7120518420,0,28.89,27.48,0,43.46,0.17,0,184,307,48,1150,57,1.679999948,52,2216,98.00900269,73,1,29,40,30,41
Nelson_2023_G3,,-109.328782,40.91117,29673.61,15211.96,4405.24,1021,1123,5571.37,3091.35,,mg DM m-2 y-1,Green river. Sites downstream Flaming Gorge Dam. Exact location could be retrieved from Fig1 and GoogleMap. Stream size also estimated from map,30,,Gorge Dam. Exact location could be retrieved from Fig1,2049.497374,342.3400387,0.029895222,1.283958401,23.36607143,74.20833333,74.91666667,6,,7120518420,0,21.63,24.52,0,53.85,0,0,184,307,48,1150,57,1.679999948,52,2216,98.00900269,73,1,29,40,30,41
Nelson_2023_G4,,-109.272513,40.911535,55477.45,32560.33,11709.75,5879.17,1318.87,6358.67,7293.87,,mg DM m-2 y-1,,35,,,2012.076042,352.2171405,0.029345376,1.284999967,23.5,75.09917355,75.8677686,6,,7121063220,0,22.1,36.14,0,41.76,0,0,194,280,48,1154,60,1.656000018,61,2022,99.10800171,50,2,43,40,45,41
Nelson_2023_G5,,-109.17069,40.89974,50200.06,43635.5,9213.76,6200,5756.47,18282.51,4182.76,,mg DM m-2 y-1,Green river. Sites downstream Flaming Gorge Dam. Exact location could be retrieved from Fig1 and GoogleMap. Stream size also estimated from map,45,,Gorge Dam. Exact location could be retrieved from Fig1,1835.278689,402.4698784,0.03101378,1.335468809,22.79166667,77.31355932,77.83050847,6,,7121063520,0.32,9.77,21.24,0,68.41,0,0.26,186,295,48,1155,61,1.65199995,55,2139,99.31800079,42,2,40,40,41,41
