rowname,FEOW_ID,AREA_SKM,area_m,units,q2.5,q25,q50,q75,q97.5
23,123,108579.9,263858249.122748,kgdmm2y,3933.7546746423563,39392.77640330449,94680.7607258264,197668.5686947387,664353.4085596883
24,124,52982.1,0,kgdmm2y,0,0,0,0,0
25,125,184565.9,264005436.928805,kgdmm2y,3935.9490374187794,39414.75083977776,94733.57640808525,197778.833971831,664724.0042146564
26,126,207945,0,kgdmm2y,0,0,0,0,0
27,127,155622.7,0,kgdmm2y,0,0,0,0,0
28,128,80644.1,0,kgdmm2y,0,0,0,0,0
29,129,34543.2,0,kgdmm2y,0,0,0,0,0
30,130,506784.4,1378688601.87621,kgdmm2y,20554.30425441683,205831.6236238974,494717.4707012476,1032840.1841317525,3471320.2071342235
31,131,154175.6,126105429.174574,kgdmm2y,1880.054245650998,18826.938294454365,45250.6525969975,94471.48145812792,317513.55884665344
32,132,163644.9,190474576.750953,kgdmm2y,2839.707529272724,28436.944599650447,68348.35706546516,142693.42377687688,479584.90867417026
33,133,114248.8,83482462.552145,kgdmm2y,1244.6058760982037,12463.532945615867,29956.17187630675,62540.621483916126,210195.65897927628
34,134,71693.9,76832046.6682252,kgdmm2y,1145.4575468014568,11470.657616626762,27569.790411538816,57558.48356186982,193450.96187198124
35,135,149798.2,99248546.8170085,kgdmm2y,1479.655975475086,14817.33402731902,35613.54607941656,74351.733400703,249892.16972254534
36,136,1015.4,0,kgdmm2y,0,0,0,0,0
37,137,61743.7,0,kgdmm2y,0,0,0,0,0
38,138,38526.1,0,kgdmm2y,0,0,0,0,0
39,139,71097.2,0,kgdmm2y,0,0,0,0,0
40,140,271471,480740442.999178,kgdmm2y,7167.16256256934,71772.25211663656,172505.01360546175,360145.17490834644,1210428.5274417202
41,141,136216.1,1970984932.27423,kgdmm2y,29384.607897464288,294258.6369366884,707252.296971211,1476557.0975205672,4962628.844577144
42,142,679471.2,4187148562.97387,kgdmm2y,62424.48469124043,625121.2825713665,1502482.535726939,3136789.037701233,10542578.938524717
43,143,593055.8,1280784576.64518,kgdmm2y,19094.693201136088,191215.0202479109,459586.38187680027,959495.6948038165,3224813.3304676907
44,144,417740.2,1436938338.2969,kgdmm2y,21422.72574096652,214528.03106994316,515619.3351482604,1076477.789032887,3617983.8459154624
45,145,115804.5,508906994.0231,kgdmm2y,7587.086147021539,75977.38366066289,182612.07103813317,381246.0570845785,1281347.4554734447
46,146,158558.9,1175696631.5214,kgdmm2y,17527.98002558205,175525.89194243963,421877.4733226292,880769.3947212849,2960218.477838929
47,147,85639.8,637701433.359973,kgdmm2y,9507.229744933733,95205.778329598,228827.62630015027,477732.0019591599,1605631.5173190166
48,148,476574.9,2524038942.63902,kgdmm2y,37629.86384771547,376826.95929039246,905705.7264088013,1890875.7515825687,6355131.516466422
49,149,249444.9,2371380499.72326,kgdmm2y,35353.94158475779,354035.78286194743,850927.0050516367,1776512.1642751736,5970761.66169141
50,150,373804.1,1469549690.32653,kgdmm2y,21908.915044956353,219396.75017568938,527321.3290359962,1100908.4797553832,3700094.08105367
51,151,46043.7,517342143.800529,kgdmm2y,7712.842343686186,77236.71123603865,185638.8719830289,387565.22273042676,1302585.8307184023
52,152,105799.8,1779667912.23203,kgdmm2y,26532.34072586057,265695.9195771758,638601.6443665734,1333232.5600296378,4480922.7967158565
53,153,114829.6,954898267.360589,kgdmm2y,14236.187557244573,142561.750709334,342647.9735617998,715359.00198611815,2404283.060536898
54,154,35016.2,36559647.3794317,kgdmm2y,545.0528238562346,5458.1807443572825,13118.76826766275,27388.543634710204,92051.41940044709
55,155,53773.8,573859614.12912,kgdmm2y,8555.438183851214,85674.49962786134,205919.14407155078,429905.1059944243,1444887.89700136
56,156,158193.7,665404286.114151,kgdmm2y,9920.240241611365,99341.68193658105,238768.293994875,498485.50605041167,1675382.926324628
57,157,315029.3,2187106758.18076,kgdmm2y,32606.6797704439,326524.59334364254,784803.7055563774,1638464.0764862448,5506789.476971669
