pub_number,pub_name,chemical,chemical_category,organisms,study_type,water_units,water_conc,water_conc_measure_type,water_conc_error_lower_limit,water_conc_upper_limit,water_conc_error_measure,water_conc_sample_size,sediment_units,sediment_conc,sediment_conc_measure_type,sediment_conc_error_lower_limit,sediment_conc_upper_limit,sediment_conc_error_measure,sediment_conc_sample_size,adult_units,adult_conc,adult_conc_measure_type,adult_conc_error_lower_limit,adult_conc_upper_limit,adult_conc_error_measure,adult_conc_sample_size,emergence_mgdm_m2_y,contaminant_flux_mg_m2_y,comments,coordinates,coord,latitude,longitude,comments_from_ralf,,,,,,,,,,,,,,,,,,
48,"Naslund, L.C., J.R. Gerson, A.C. Brooks, D.M. Walters, E.S. Bernhardt. 2020. Contaminant Subsidies to Riparian Food Webs in Appalachian Streams Impacted by Mountaintop Removal Coal Mining. Environmental Science & Technology 54: 3951-3959.",Se,Se,"Trichoptera, chironomids",experimental,ugl,23.2,,,,,1,,,,,,,,ng_mg_dm,24.8,,,,,1,,,,37.60372° N,81.54888° W,,,,,,,,,,,,,,,,,,,,,
48,"Naslund, L.C., J.R. Gerson, A.C. Brooks, D.M. Walters, E.S. Bernhardt. 2020. Contaminant Subsidies to Riparian Food Webs in Appalachian Streams Impacted by Mountaintop Removal Coal Mining. Environmental Science & Technology 54: 3951-3959.",Se,Se,"Trichoptera, chironomids",experimental,ugl,10.5,,,,,1,,,,,,,,ng_mg_dm,25.6,,,,,1,,,,37.60372° N,81.54888° W,,,,,,,,,,,,,,,,,,,,,
48,"Naslund, L.C., J.R. Gerson, A.C. Brooks, D.M. Walters, E.S. Bernhardt. 2020. Contaminant Subsidies to Riparian Food Webs in Appalachian Streams Impacted by Mountaintop Removal Coal Mining. Environmental Science & Technology 54: 3951-3959.",Se,Se,"Trichoptera, chironomids",experimental,ugl,2.11,,,,,1,,,,,,,,ng_mg_dm,6.32,,,,,1,,,,37.60372° N,81.54888° W,,,,,,,,,,,,,,,,,,,,,
48,"Naslund, L.C., J.R. Gerson, A.C. Brooks, D.M. Walters, E.S. Bernhardt. 2020. Contaminant Subsidies to Riparian Food Webs in Appalachian Streams Impacted by Mountaintop Removal Coal Mining. Environmental Science & Technology 54: 3951-3959.",Se,Se,"Trichoptera, chironomids",experimental,ugl,11.8,,,,,1,,,,,,,,ng_mg_dm,51.5,,,,,1,,,,37.60372° N,81.54888° W,,,,,,,,,,,,,,,,,,,,,
48,"Naslund, L.C., J.R. Gerson, A.C. Brooks, D.M. Walters, E.S. Bernhardt. 2020. Contaminant Subsidies to Riparian Food Webs in Appalachian Streams Impacted by Mountaintop Removal Coal Mining. Environmental Science & Technology 54: 3951-3959.",Se,Se,"Trichoptera, chironomids",experimental,ugl,9.1,,,,,1,,,,,,,,ng_mg_dm,37.7,,,,,1,,,,37.60372° N,81.54888° W,,,,,,,,,,,,,,,,,,,,,
51,"Perrotta, B.G., M. Simonin, B.P. Colman, S.M. Anderson, E. Baruch, B.T. Castellon, C.W. Matson, E.S. Bernhardt, et al. 2023. Chronic Engineered Nanoparticle Additions Alter Insect Emergence and Result in Metal Flux from Aquatic Ecosystems into Riparian Food Webs. Environmental Science & Technology 57: 8085-8095.",Cu,Cu,Chironomids,experimental,ugl,14,mean,10.2422276,,standard deviation,32,,,,,,,,ng_mg_dm,28.46101917,mean,11.73289443,,standard deviation,30,,,,37.60372° N,81.54888° W,,,based on flux per 6-wks data and assumption of 180 days of emergence per year,,,,,,,,,,,,,,,,,,
51,"Perrotta, B.G., M. Simonin, B.P. Colman, S.M. Anderson, E. Baruch, B.T. Castellon, C.W. Matson, E.S. Bernhardt, et al. 2023. Chronic Engineered Nanoparticle Additions Alter Insect Emergence and Result in Metal Flux from Aquatic Ecosystems into Riparian Food Webs. Environmental Science & Technology 57: 8085-8095.",Au (NP),other metals,Chironomids,experimental,ugl,6.28125,mean,4.82757119,,standard deviation,32,,,,,,,,ng_mg_dm,0.15720375,mean,0.12591825,,standard deviation,23,,,,37.60372° N,81.54888° W,,,based on flux per 6-wks data and assumption of 180 days of emergence per year,,,,,,,,,,,,,,,,,,
52,"Pietz, S., M.J. Kainz, H. Schroder, A. Manfrin, R.B. Schafer, J.P. Zubrod, M. Bundschuh. 2023. Metal Exposure and Sex Shape the Fatty Acid Profile of Midges and Reduce the Aquatic Subsidy to Terrestrial Food Webs. Environmental Science & Technology 57: 951-962.",Cu,Cu,Chironomids,experimental,ugl,,,,,,,ugg,48.221,mean,41.417,55.025,95% CI,NN,ng_mg_dm,22.3,mean,4.15,,95% CI,4,,,,49.19828° N,8.11215° O,,,,,,,,,,,,,,,,,,,,,
52,"Pietz, S., M.J. Kainz, H. Schroder, A. Manfrin, R.B. Schafer, J.P. Zubrod, M. Bundschuh. 2023. Metal Exposure and Sex Shape the Fatty Acid Profile of Midges and Reduce the Aquatic Subsidy to Terrestrial Food Webs. Environmental Science & Technology 57: 951-962.",Cd,Cd,Chironomids,experimental,ugl,,,,,,,ugg,2.1,mean,1.9,2.3,95% CI,NN,ng_mg_dm,5.0,mean,5.4,,95% CI,4,,,,49.19828° N,8.11215° O,,,,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",Azithromycin,pharmaceuticals,Aquatic insects,field,ugl,0.000718,mean,0.000345,,standard deviation,5,,,,,,,,ng_mg_dm,0.001573,mean,0.703,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
