SiteID,LON,LAT,ACSP,NISP,AISP_mgAFDM_m2_y,bio1_mat,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12_precip,bio13,bio14,bio15,bio16,bio17,bio18,bio19,clb
Smock_EtAl_1992_BuzzardsBranch,-77.09128411,37.14166742,5094.923852,1678.5,3416.424,143,125,36,7877,313,-28,341,235,98,243,39,1139,124,79,14,339,246,336,262,C
Smock_EtAl_1992_ColliersCreek,-77.03884328,37.11774779,5642.034464,4173.3,1468.734,144,123,36,7843,312,-27,339,236,99,242,40,1143,126,78,15,341,245,340,264,C
Stone_Wallace_1998_BigHurricaneBranch_CatchC7,-83.43960816,35.06315673,8308.214474,1761,6547.214,118,137,42,6885,275,-49,324,40,170,204,26,1792,187,122,11,507,400,426,483,C
Stone_Wallace_1998_HughWhiteCreek_CatchC14,-83.43302739,35.05481532,4363.370115,464.3,3899.07,118,137,42,6885,275,-49,324,40,170,204,26,1792,187,122,11,507,400,426,483,V
Vandermyde_Whiles_2015_K02A_Closed,-96.57590476,39.10075738,11327.62827,4030.2,7297.428,120,128,30,9941,324,-91,415,221,-13,245,-13,869,137,20,51,355,71,326,71,C
Vandermyde_Whiles_2015_K02A_Open,-96.57590476,39.10075738,12553,11646.9,906.1,120,128,30,9941,324,-91,415,221,-13,245,-13,869,137,20,51,355,71,326,71,C
Vandermyde_Whiles_2015_K02A_Removal,-96.57590476,39.10075738,11684.28435,1529.9,10154.384,120,128,30,9941,324,-91,415,221,-13,245,-13,869,137,20,51,355,71,326,71,C
Vandermyde_Whiles_2015_N04D_Closed,-96.58601814,39.08899321,9986.605259,2275.9,7710.705,122,129,31,9985,326,-90,416,223,-12,247,-12,863,137,20,51,354,71,324,71,V
Vandermyde_Whiles_2015_N04D_Open,-96.58601814,39.08899321,7023.380965,1070.6,5952.781,122,129,31,9985,326,-90,416,223,-12,247,-12,863,137,20,51,354,71,324,71,C
Vandermyde_Whiles_2015_N04D_Removal,-96.58601814,39.08899321,11766.36128,3243,8523.361,122,129,31,9985,326,-90,416,223,-12,247,-12,863,137,20,51,354,71,324,71,V
Wallace_EtAl_1999_C53_Before,-83.45023052,35.06050988,11316.3063,1269,10047.306,118,137,42,6885,275,-49,324,40,170,204,26,1792,187,122,11,507,400,426,483,C
Wallace_EtAl_1999_C55_Before,-83.43483738,35.06248748,7023.380965,213,6810.381,118,137,42,6885,275,-49,324,40,170,204,26,1792,187,122,11,507,400,426,483,V
Whiting_EtAl_2011_KingsCreek_GalleryForest,-96.61088112,39.11301783,17017.54245,2105,14912.542,122,129,31,9985,326,-90,416,223,-12,247,-12,863,137,20,51,354,71,324,71,C
Whiting_EtAl_2011_KingsCreek_Grass,-96.58310629,39.08295326,31856.60443,12707,19149.604,119,126,30,9928,322,-90,412,220,-14,244,-14,875,137,20,50,354,73,325,73,V
Whiting_EtAl_2011_KingsCreek_Shrub,-96.58938205,39.09600018,9117.947473,1914,7203.947,122,129,31,9985,326,-90,416,223,-12,247,-12,863,137,20,51,354,71,324,71,C
