A1,A1PRIME,A2,A3,A4,A5,ACCO11,ALDS16,ALEX16,ALINOR,ALKA11,ALOR16,ALTL16,ANDEF,ANSUM,A_WS,CA16,CATSUM,CL16,CO316,COLVAL,COND11,CONIS,CONVAL,COUNTY1,COUNTY2,COUNTY3,COUNTY4,DATSMP,DICE11,DICI11,DICVAL,DOC11,DO_IS,DRPCDE,ELEV,FE16,FTL16,GRADE,H16,HCO316,K16,L2,LABNAM,LAT_STD,LON_STD,MAP1,MAP2,MAP3,MAP4,MAP5,MAP6,MG16,MN16,NA16,NH416,NO316,NODE,NOTSAM,OH16,ORGION,PHAC11,PHAL11,PHEQ11,PHSTVL,PH_CLO,PH_R,PTD16,PTL16,QUAD,RCH_HW,RCH_ID,RCH_LN,SAMCOD,SAMRN,SHRE75,SIO216,SIT_CLS,SO416,SOBC,STATE1,STATE2,STRA250,STRA75,STRATUM,STRMDP,STRMNAM,STRMWD,STRM_ID,SUB_ID,TIMSMP,TMPSTR,TURVAL,W,WC 
0.73,0.73,17.35,0,1.9423,44.6214,37.6,0.644874361,0.778296642,0.140834631,160,0.50403973,5.929879179,26.21895657,571.3906204,44.9321,391.715,597.609577,54.7274,0.089811969,10,70.8,49,71.1,FAYETTE, , , ,14-May-86,1.3,1.2,1.912,0.827,8.6,0,420.6035,0,3.4216,1.56641604,0.128824955,123.4000837,17.48988,2.1403,NYSDOH,39.92888889,-79.58722222,"FORT NECESSITY, PA 1973","UNIONTOWN, PA 1973","SOUTH CONNELLSVILLE, PA 1973","BROWNFIELD, PA 1973", , ,150.5358,2.803159926,36.975,0.765072,25.3241,U, ,0.077624712,8.118506314,7.12,7.14,7.26,6.89,.,7.03,0.025828114,.,CUMBERLAND 1969,26,2C041001,2.1564,R,2,29,75.39444777, ,364.35,596.71568,PA, ,3,4,1,0.5,DUNBAR CREEK,10,2C041001U,2CN,14:40,13.7,0.33,145.2608098,1.656881112
0.38,0.38,0,0.01,0.9841,0.1295,56.1,0.945074494,0.259432214,0.500333556,111,0.444740938,11.97094359,38.57234866,349.9760847,0.9842,227.045,388.5484334,32.7236,0.007412818,10,45.8,30,44.9,FAYETTE, , , ,1-May-86,0.472,0.647,0.767,1.34,9.6,0,499.8476,0.232808023,2.3688,3.885003885,0.416869384,32.95828358,26.3371,1.2552,NYSDOH,39.94277778,-79.4325,"MILLRUN, PA 1980", , , , , ,106.1154,0.254832721,27.492,1.142064,25.808,L, ,0.023988329,12.65442909,6.32,6.34,6.97,6.38,.,6.37,0.064570285,.,CUMBERLAND 1969,1,2C041002,1.3518,R,1,1,80.88675854, ,256.086,386.9895,PA, ,1,1,3,0.1,FULTON RUN,1.7,2C041002L,2CN,9:40,12.5,5.4,168.4210526,1
0.38,0.38,0,0.01,0.9841,0.1295,44.6,0.448447113,0.281669261,0.151953154,56.1,0.296493959,4.558594619,-15.17238149,384.2580511,0.9841,208.582,369.0856697,36.3909,0.013794343,10,45.8,30,45,FAYETTE, , , ,14-May-86,0.516,0.69,0.988,0.87,9.7,0,499.8476,0.232808023,2.632,3.885003885,0.323593657,47.60825385,25.8257,1.2552,NYSDOH,39.94277778,-79.4325,"MILLRUN, PA 1980", , , , , ,102.825,0.109214023,30.537,0.992376,24.8402,L, ,0.030902954,8.327924414,6.52,6.6,6.79,6.49,.,6.49,0.109769484,.,CUMBERLAND 1969,1,2C041002,1.3518,R,2,1,89.04200786, ,272.742,367.7697,PA, ,1,1,3,0.1,FULTON RUN,1.7,2C041002L,2CN,11:25,12.7,1.9,168.4210526,1
0.38,0.38,0,0.01,0.9841,0.1295,95,3.050181603,2.927877845,1.945741606,8.8,1.104439997,11.15558521,20.65562423,279.3443715,0.0259,146.706,299.9999957,33.5699,0.000189719,30,39,26,38.5,FAYETTE, , , ,1-May-86,0.238,0.54,0.963,2.82,8.4,0,548.6132,2.722063037,2.31616,3.885003885,3.981071706,8.055509869,19.07522,1.2552,NYSDOH,39.93277778,-79.43833333,"MILLRUN, PA 1980", , , , , ,101.1798,1.893043067,24.534,4.523904,18.8721,U, ,0.002511886,23.75324374,5.42,5.45,5.9,5.4,.,5.37,0.261509653,.,CUMBERLAND 1969,1,2C041002,1.3518,R,1,1,76.72591705, ,216.528,291.49502,PA, ,1,1,3,0.05,FULTON RUN,0.5,2C041002U,2CN,11:00,13.8,3.2,168.4210526,1
0.38,0.38,0,0.01,0.9841,0.1295,124.4,3.13912979,3.298495293,0.978430065,26.2,2.160699726,17.60432881,44.89050682,233.7492847,0.0259,125.748,278.6397916,3.3852,0.000392058,60,34.1,21,34.6,FAYETTE, , , ,14-May-86,0.213,0.637,1.467,3.98,7.9,0,548.6132,2.148997135,2.31616,3.885003885,3.388441561,14.16876147,17.25975,1.2552,NYSDOH,39.93277778,-79.43833333,"MILLRUN, PA 1980", , , , , ,97.0668,2.166078124,25.752,9.4248,14.42022,U, ,0.002951209,35.6324082,5.8,5.76,6.16,5.47,.,5.69,0.27442371,.,CUMBERLAND 1969,1,2C041002,1.3518,R,2,1,90.70634445, ,199.4556,265.82655,PA, ,1,1,3,0.05,FULTON RUN,0.5,2C041002U,2CN,10:10,12.7,6.7,168.4210526,1
0.38,0.38,0,0.12,0.6733,0.3108,.,.,.,.,.,.,.,.,.,0.9842,.,.,.,.,.,.,790,.,SOMERSET, , , ,1-May-86,.,.,.,.,.,2,655.288,.,.,3.472222222,.,.,.,0.9656, ,39.92277778,-78.99027778,"BERLIN, PA 1981", , , , , ,.,.,.,.,.,L,HIGH CONDUCTIVITY,.,.,.,.,.,.,.,.,.,.,CUMBERLAND 1969,1,2C041005,1.3196,NS,1,1,.,C3A3,.,.,PA, ,1,1,3,0.08,NO NAME,0.75,2C041005L,2CN,.,14.9,.,168.4210526,1
0.38,0.38,0,0.12,0.6733,0.3108,.,.,.,.,.,.,.,.,.,0.3108,.,.,.,.,.,.,1410,.,SOMERSET, , , ,1-May-86,.,.,.,.,.,2,688.8144,.,.,3.472222222,.,.,.,0.9656, ,39.93,-78.99361111,"BERLIN, PA 1981", , , , , ,.,.,.,.,.,U,HIGH CONDUCTIVITY,.,.,.,.,.,.,.,.,.,.,CUMBERLAND 1969,1,2C041005,1.3196,NS,1,1,.,C3A3,.,.,PA, ,1,1,3,0.04,NO NAME,0.35,2C041005U,2CN,.,14.6,.,168.4210526,1
0.18,0.18,2.57,0,0.6733,6.3967,44.4,1.030316507,0.667111408,0.355792751,206.9,0.674523757,4.521532874,14.31940184,580.9985613,7.1225,377.244,595.3179631,54.4453,0.237438156,5,68.6,48,66.9,FAYETTE, , , ,1-May-86,2.3,2.43,2.433,1.01,9.7,0,344.4072,0.143266476,0.63168,2.41046832,0.069183097,175.1990491,27.6156,0.8851,NYSDOH,39.82444444,-79.74055556,"BROWNFIELD, PA 1973", , , , , ,153.8262,0.637081801,34.2345,2.32848,0.56455,L, ,0.144543977,9.914983527,7.12,7.12,7.5,7.16,.,7.35,0.077484342,.,CUMBERLAND 1969,2,2C041007,0.9012,R,1,2,83.54969709, ,349.776,592.9203,PA, ,2,2,3,0.2,ASKON HOLLOW,2,2C041007L,2CN,14:50,14.6,2.4,320,1
0.18,0.18,2.57,0,0.6733,6.3967,72.4,0.626343488,0.437328589,0.059298792,276.3,0.567044697,3.372618783,8.201250446,651.9187063,7.1218,425.148,660.1199568,54.4453,0.427281438,5,73,52,73,FAYETTE, , , ,15-May-86,2.63,1.97,3.214,0.848,9.2,0,344.4072,0.196991404,2.94784,2.41046832,0.052480746,239.1636988,28.3827,0.8851,NYSDOH,39.82444444,-79.74055556,"BROWNFIELD, PA 1973", , , , , ,163.6974,0.236630383,41.847,0.992376,4.96804,L, ,0.190546072,8.272010469,6.92,6.97,7.61,7.28,.,7.37,0.096855427,.,CUMBERLAND 1969,2,2C041007,0.9012,R,2,2,85.71333467, ,349.776,659.0751,PA, ,2,2,3,0.2,ASKON HOLLOW,2,2C041007L,2CN,12:00,17,2.8,320,1
0.18,0.18,2.57,0,0.6733,6.3967,49,0.71899785,0.296493959,0.385442147,204.4,0.333555704,5.522199985,59.39983461,488.473736,6.6557,347.803,547.8735706,35.5446,0.216099844,15,62,42,60.6,FAYETTE, , , ,1-May-86,2.24,2.14,2.273,0.903,9.8,0,365.7422,0.071633238,2.52672,2.41046832,0.070794578,163.1682624,26.0814,0.8851,NYSDOH,39.82805556,-79.73222222,"BROWNFIELD, PA 1973", , , , , ,143.955,0.309439732,28.971,0.992376,5.8068,U, ,0.141253755,8.859617505,7.1,7.07,7.39,7.15,.,7.25,0.051656228,.,CUMBERLAND 1969,2,2C041007,0.9012,R,1,2,73.89654484, ,281.07,546.8104,PA, ,2,2,3,0.2,ASKON HOLLOW,3,2C041007U,2CN,13:35,14.5,3.3,320,1
