"","BAS_ID","BAS_Class","BA_km2","mnRSSA_pc","sdRSSA_pc"
"30692",4000013730,"C",108.945,0.48751260407264,0.119913314220146
"30693",4000013740,"C",266.702,0.54667099355483,0.121745989864969
"30694",4000013750,"C",17.3436,0.45098723415502,0.132550401903059
"30695",4000013760,"C",211.021,0.52194593093928,0.119405283067842
"30696",4000013770,"C",237.225,0.55970127681531,0.126352814387729
"30697",4000013780,"C",123.463,0.54355434814974,0.131905020873012
"30698",4000013790,"C",35.9621,0.52770902019668,0.14498416202314
"30699",4000013880,"C",217.757,0.44713175327164,0.102024204185853
"30700",4000013910,"C",141.711,0.38665488976118,0.092718529017519
"30701",4000013920,"C",269.762,0.36822804902581,0.082267279135466
"30702",4000013930,"C",409.778,0.44953400604747,0.095217423910151
"30703",4000013940,"C",38.2939,0.35533577915286,0.097392356607671
"30704",4000013950,"C",213.301,0.43621026559072,0.099794808224888
"30705",4000013960,"C",4.68548,0,0
"30706",4000013970,"C",108.705,0.44042604398727,0.108439985100201
"30707",4000014020,"C",433.891,0.63399067692611,0.133354656465591
"30708",4000014050,"C",3338.36,0.76636287659055,0.121843539923503
"30709",4000014070,"C",155.312,0.61100111071656,0.144710786420602
"30710",4000014080,"C",139.676,0.61314793117633,0.146910301128855
"30711",4000014090,"C",105.192,0.60567765913976,0.14956271049677
"30712",4000014100,"C",198.706,0.63775003450163,0.14703506537048
"30713",4000014110,"C",114.826,0.61696380099558,0.150967246209949
"30714",4000014120,"C",715.707,0.70478540100894,0.139427313372271
"30715",4000014130,"C",134.522,0.64694677214496,0.155717842843475
"30716",4000014140,"C",165.017,0.6536991327636,0.153900705465214
"30717",4000014150,"C",28.8348,0.59299844580792,0.166372514177547
"30718",4000014160,"C",300.225,0.71166610311432,0.156748536805458
"30719",4000014170,"C",176.11,0.69845129100517,0.163412958936643
"30720",4000014180,"C",137.743,0.69987976557441,0.16820338856276
"30721",4000014190,"C",152.783,0.72891196112298,0.173344163721664
"30722",4000014210,"C",179.138,0.76797808119721,0.179663991813137
"30723",4000014220,"C",326.65,0.85197922791095,0.186666807958915
"30724",4000014240,"C",11.0712,0.69555848660446,0.212733056637094
"30725",4000014250,"C",9242.18,0.83588144086505,0.112222578515827
"30726",4000014260,"C",5.53325,0.68265628585838,0.221124915621289
"30727",4000014270,"C",102.72,0.82328097943819,0.20473466336924
"30728",4000014280,"C",129.467,0.86102018316455,0.209210115288337
"30729",4000014290,"C",129.683,0.89529786422556,0.217732586507554
"30730",4000014300,"C",220.323,0.88382214161709,0.202812599578035
"30731",4000014310,"C",68.5634,0.84831351125066,0.219967285830027
"30732",4000014320,"C",1357.97,0.97810044032684,0.179967245621341
"30733",4000014330,"C",291.867,0.99313041530015,0.221676398357145
"30734",4000014340,"C",211.744,1.01535024698637,0.235165785318097
"30735",4000014350,"C",2352.92,0.89411099882176,0.151274747336511
"30736",4000014360,"C",97.7528,0.96530553509199,0.242307244849953
"30737",4000014370,"C",31.467,0.91285579959824,0.255493598284769
"30738",4000014380,"C",2891.95,1.06912483755708,0.177627297581611
"30739",4000014390,"C",77.7953,0.99163990528729,0.254947662818698
"30740",4000014400,"C",411.883,1.1074014497579,0.238679490126586
"30741",4000014410,"C",768.232,1.20050971445412,0.241036903456857
"30742",4000014420,"C",332.993,1.19221661155727,0.264373304211917
"30743",4000014430,"C",10.1564,0.98959957429926,0.306474541822437
"30744",4000014440,"C",320.182,1.23779941510726,0.276260259833445
"30745",4000014450,"C",105.89,1.22554801570342,0.307784577767426
"30746",4000014460,"C",155.511,1.29234074739724,0.312701591634008
"30747",4000014490,"C",841.433,1.21507089439058,0.241383659178012
"30748",4000014500,"C",61.5834,1.23738760901744,0.327990703060017
"30749",4000014510,"C",170.461,1.21929124034658,0.291380764217426
"30750",4000014520,"C",58.1484,1.16388291728476,0.309523869721985
"30751",4000014540,"C",104.417,1.0974284203609,0.274801260669541
"30752",4000014600,"C",1091.92,1.01002720777346,0.191755433708984
"30753",4000014610,"C",63.5131,1.06694539608665,0.280503935097175
"30754",4000014620,"C",9.81866,0.97338698018696,0.302208230203244
"30755",4000014630,"C",989.457,1.05011209213334,0.202434922592518
"30756",4000014640,"C",253.585,1.20345802519211,0.275295388488601
"30757",4000014650,"C",307.298,1.20825701752422,0.270572989709365
"30758",4000014720,"C",218.326,1.0974517714184,0.254135414596278
"30759",4000014730,"C",157.171,0.96439417592285,0.230305006635132
"30760",4000014740,"C",4.08836,0.74433741304664,0.24717756348793
"30761",4000014750,"C",207.998,0.89532720061487,0.206860539878836
"30762",4000014770,"C",24.1967,0.72212851197175,0.206229679038544
"30763",4000014780,"C",184.158,0.8277191243782,0.193397345872654
"30764",4000014790,"C",288.409,0.73920136413951,0.163707142209867
"30765",4000014810,"C",147.789,0.80992079941043,0.193729936378062
"30766",4000014820,"C",31.4234,0.75849112560338,0.211599377378946
"30767",4000014830,"C",359.121,0.79834253991449,0.17263133910012
"30768",4000014840,"C",10.8597,0.68759166329225,0.210621165127123
"30769",4000014850,"C",108.035,0.76302731052642,0.1884547403646
"30770",4000014860,"C",34.3421,0.64565301075921,0.178301240918914
