INDEX,SiteID,Production,Biomass,Density,Discharge,ChannelWidth,WaterTemperature,pH,Conductivity,CPOM,Longitude,Latitude,ElevationCatch,Slope,StreamOrder,AreaWater,SedimentAverage,SedimentHierarchical,Bioclimate1,Bioclimate12,ESA_LandCover,EcoReg_DomainNo,EcoReg_Domain,EcoReg_DivisionNo,EcoReg_Division,EcoReg_ProvinceNo,EcoReg_Province
117,Wallace_EtAl_1995_RT,9.131,7.361,9.585,3.157,0.956,2.407,NA,NA,4.625,3.626,3.556,6.941,NA,1,NA,4.936,4.773,3.434,7.553,60,200,HUMID_TEMPERATE,M230,SUBTROPICAL_REGIME_MOUNTAINS,M231,FOREST-MEADOW_OF_EASTERN_OCEANIC_(MONSOON_CLIMATE)
118,Wallace_EtAl_1999_C53_Before,9.334,7.547,11.457,0.195,-0.051,2.53,1.917,NA,6.727,3.626,3.557,6.743,NA,1,-2.957,6.99,6.608,3.459,7.491,60,200,HUMID_TEMPERATE,M230,SUBTROPICAL_REGIME_MOUNTAINS,M231,FOREST-MEADOW_OF_EASTERN_OCEANIC_(MONSOON_CLIMATE)
119,Wallace_EtAl_1999_C55_Before,8.857,7.471,10.912,0.545,0.565,2.511,1.892,NA,6.425,3.626,3.557,6.743,3.178,2,-2.59,5.415,5.973,3.459,7.491,60,200,HUMID_TEMPERATE,M230,SUBTROPICAL_REGIME_MOUNTAINS,M231,FOREST-MEADOW_OF_EASTERN_OCEANIC_(MONSOON_CLIMATE)
120,Walther_Whiles_2011_BC1_Yr1,9.965,7.925,NA,5.922,1.856,2.657,2.028,6.052,NA,3.461,3.622,4.977,NA,2,7.636,5.019,4.959,3.512,7.088,40,200,HUMID_TEMPERATE,250,PRAIRIE,255,SUBTROPICAL_PRAIRIES_(HUMID_STEPPES_AND_WOODED_STEPPES)_OF_EASTERN_PARTS_OF_CONTINENTS
121,Walther_Whiles_2011_BC1_Yr2,9.936,7.687,NA,6.769,1.526,2.691,2.054,6.148,NA,3.461,3.622,4.977,NA,2,8.329,4.864,4.597,3.512,7.088,40,200,HUMID_TEMPERATE,250,PRAIRIE,255,SUBTROPICAL_PRAIRIES_(HUMID_STEPPES_AND_WOODED_STEPPES)_OF_EASTERN_PARTS_OF_CONTINENTS
128,Whiting_EtAl_2011_KingsCreek_GalleryForest,9.742,7.51,NA,3.135,0.47,2.58,NA,NA,5.203,3.194,3.666,5.872,NA,2,2.36,4.953,4.814,3.472,6.76,130,300,DRY,330,TEMPERATE_STEPPE,332,STEPPES_OF_MODERATELY_CONTINENTAL_CLIMATE
129,Whiting_EtAl_2011_KingsCreek_Grass,10.369,8.172,NA,1.099,-0.357,2.747,NA,NA,5.308,3.195,3.666,6.035,NA,1,-0.598,4.794,4.402,3.463,6.774,130,300,DRY,330,TEMPERATE_STEPPE,332,STEPPES_OF_MODERATELY_CONTINENTAL_CLIMATE
130,Whiting_EtAl_2011_KingsCreek_Shrub,9.118,6.988,NA,2.89,-0.105,2.493,NA,NA,5.609,3.195,3.666,5.961,NA,2,0.293,4.936,4.774,3.466,6.767,130,300,DRY,330,TEMPERATE_STEPPE,332,STEPPES_OF_MODERATELY_CONTINENTAL_CLIMATE
131,Chadwick_Huryn_2007_EU,7.427,6.057,8.18,NA,NA,NA,NA,NA,NA,3.968,3.804,4.796,2.996,1,-2.303,NA,NA,3.25,7.069,61,100,POLAR,130,SUBARCTIC,133,EASTERN_OCEANIC_TAYGA
132,Duffy_EtAl_1987_StMarysRiver_Michigan_MainChannel,9.561,9.03,NA,14.142,NA,2.163,NA,NA,NA,3.605,3.837,5.17,NA,4,NA,NA,NA,3.195,6.735,210,NA,,,,,
133,Edwards_EtAl_1989_StClaire_MainChannel,9.015,7.013,NA,15.444,NA,2.241,NA,NA,NA,3.65,3.754,5.182,NA,5,NA,NA,NA,3.364,6.678,210,200,HUMID_TEMPERATE,210,WARM_CONTINENTAL,212,MODERATE_CONTINENTAL_MIXED_FORESTS
134,Edwards_EtAl_1989_Detroit_MainChannel,8.7,6.725,NA,15.466,NA,2.332,NA,NA,NA,3.635,3.745,5.198,NA,6,NA,NA,NA,3.384,6.714,210,200,HUMID_TEMPERATE,210,WARM_CONTINENTAL,212,MODERATE_CONTINENTAL_MIXED_FORESTS
135,Edwards_EtAl_1989_StLawrence_MainChannel,9.608,9.021,NA,15.723,NA,NA,NA,NA,NA,3.809,3.792,4.382,NA,4,NA,NA,NA,3.292,6.815,210,200,HUMID_TEMPERATE,210,WARM_CONTINENTAL,212,MODERATE_CONTINENTAL_MIXED_FORESTS
136,Johnson_EtAl_2013_Beech,9.317,NA,NA,2.079,NA,2.366,1.97,7.202,NA,3.688,3.646,6.122,NA,1,-0.562,NA,NA,3.44,7.078,61,200,HUMID_TEMPERATE,M220,HOT_CONTINENTAL_REGIME_MOUNTAINS,M221,FOREST-ALPINE_MEADOWS
137,Johnson_EtAl_2013_Lost,7.421,NA,NA,2.485,NA,2.425,2.045,7.816,NA,3.688,3.646,6.217,NA,1,-0.236,NA,NA,3.431,7.091,61,200,HUMID_TEMPERATE,M220,HOT_CONTINENTAL_REGIME_MOUNTAINS,M221,FOREST-ALPINE_MEADOWS
139,Lugthart_Wallace_1992_CoweetaCatchment54_Yr1,9.218,7.378,11.099,0.302,NA,2.501,NA,NA,6.562,3.625,3.556,7.151,3.497,1,-2.9,7.811,6.732,3.401,7.598,60,200,HUMID_TEMPERATE,M230,SUBTROPICAL_REGIME_MOUNTAINS,M231,FOREST-MEADOW_OF_EASTERN_OCEANIC_(MONSOON_CLIMATE)
