"© 2002, by the American Society of Limnology and Oceanography, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
"McCutchan, Jr., James H., and William M. Lewis, Jr. 2002. Relative importance of carbon sources for",,,,,,,,,,,,,,,,,,,,,,,,
macroinvertebrates in a Rocky Mountain stream. Limnol. Oceanogr. 47: 742-752.,,,,,,,,,,,,,,,,,,,,,,,,
Web Appendix 1.  Macroinvertebrate production (MP; units are mgDM m-2  yr-1) and the proportional,,,,,,,,,,,,,,,,,,,,,,,,
contribution of algal carbon to production (kalgal carbon) for taxa at each site.,,,,,,,,,,,,,,,,,,,,,,,,
Drunella doddsi,,234,0.56,271,0.5,,,,,,,,,,,,,,,,,,,
Drunella grandis,,9,1,14,0.24,,,,,,,,,,,,,,,,,,,
Epeorus longimanus,,251,0.6,226,0.76,,,,,,,,,,,,,,,,,,,
Ephemerella infrequens,,416,0.65,258,0.39,,,,,,,,,,,,,,,,,,,
Paraleptophlebia sp.,,15,0.42,7,0.38,,,,,,,,,,,,,,,,,,,
Rithrogena hageni,,296,0.39,215,0.54,,,,,,,,,,,,,,,,,,,
Rithrogena robusta,,130,0.33,268,0.4,,,,,,,,,,,,,,,,,,,
Seratella tibialis,,188,0.61,18,0.7,,,,,,,,,,,,,,,,,,,
Plecoptera:  Isoperla sobria,,3,0.78,<1,0.8,,,,,,,,,,,,,,,,,,,
Isoperla sp.,,3,0.32,<1,0.97,,,,,,,,,,,,,,,,,,,
Malenka sp.,,12,0.25,2,0.43,,,,,,,,,,,,,,,,,,,
Megarcys signata,,57,0.49,165,0.53,,,,,,,,,,,,,,,,,,,
Podmosta sp.,,139,0.29,122,0.12,,,,,,,,,,,,,,,,,,,
Sweltsa borealis,,265,0.33,316,0.3,,,,,,,,,,,,,,,,,,,
Zapada cinctipes,,41,0.21,14,0.1,,,,,,,,,,,,,,,,,,,
Zapada oregonensis,,27,0.3,70,0.17,,,,,,,,,,,,,,,,,,,
Trichoptera:  Agraylea sp.,,61,0.52,35,0.79,,,,,,,,,,,,,,,,,,,
Arctopsyche grandis,,250,0.39,87,0.81,,,,,,,,,,,,,,,,,,,
Lepidostoma sp.,,14,0.59,3,0.12,,,,,,,,,,,,,,,,,,,
Micrasema bactro,,7,0.16,0,0.25,,,,,,,,,,,,,,,,,,,
Rhyacophila coloradensis,,56,0.53,37,0.54,,,,,,,,,,,,,,,,,,,
